EER = 0.152980 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.209902 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.322898 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.409428 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.458495 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.163384 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.113549 for C = 7.000000e+00, gamma = 3.000000e-07 <- New Best
EER = 0.126001 for C = 7.000000e+00, gamma = 5.000000e-07 
EER = 0.139641 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.149490 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.155821 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.164439 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.167253 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.169286 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.168989 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.224429 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.183081 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.168693 for C = 7.000000e+00, gamma = 5.000000e-09 
EER = 0.159798 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.155351 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.276905 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.259709 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.239846 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.232325 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.227690 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 0.263278 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.263806 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.264685 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.270382 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.274533 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.152980 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.209902 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.322898 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.409428 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.458495 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.155821 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.109991 for C = 9.000000e+00, gamma = 3.000000e-07 <- New Best
EER = 0.124815 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.139993 for C = 9.000000e+00, gamma = 7.000000e-07 
EER = 0.149490 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.147380 for C = 9.000000e+00, gamma = 1.000000e-08 
EER = 0.160042 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.170770 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.174815 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.164245 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.216721 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.172547 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.159502 for C = 9.000000e+00, gamma = 5.000000e-09 
EER = 0.158316 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.147731 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.280514 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.249209 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.233028 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.227690 for C = 9.000000e+00, gamma = 7.000000e-10 
EER = 0.218796 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.263278 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 0.263278 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.269197 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.274533 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 0.280514 for C = 9.000000e+00, gamma = 9.000000e-11 
