EER = 0.060184 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.123925 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.199229 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.265342 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.300623 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.029647 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.057219 for C = 7.000000e+00, gamma = 3.000000e-07 
EER = 0.061073 for C = 7.000000e+00, gamma = 5.000000e-07 
EER = 0.066113 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.061963 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.020457 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.021050 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.025497 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.028461 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.029944 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.122443 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.063741 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.037355 for C = 7.000000e+00, gamma = 5.000000e-09 
EER = 0.026090 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.021050 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.189446 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.160688 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.149718 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.138452 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.128076 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 0.199229 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.199229 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.198933 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.197154 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.190631 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.056033 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.124518 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.199229 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.265342 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.300623 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.034094 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.067892 for C = 9.000000e+00, gamma = 3.000000e-07 
EER = 0.064631 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.064631 for C = 9.000000e+00, gamma = 7.000000e-07 
EER = 0.054551 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.018678 for C = 9.000000e+00, gamma = 1.000000e-08 <- New Best
EER = 0.023718 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.027275 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.030537 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.031426 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.109695 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.050993 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.029054 for C = 9.000000e+00, gamma = 5.000000e-09 
EER = 0.020160 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.019271 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.183813 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.155648 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.142307 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.128076 for C = 9.000000e+00, gamma = 7.000000e-10 
