EER = 0.391936 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.529202 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.573080 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.606285 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.638008 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.383042 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.297361 for C = 7.000000e+00, gamma = 3.000000e-07 
EER = 0.240439 for C = 7.000000e+00, gamma = 5.000000e-07 <- New Best
EER = 0.311296 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.368811 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.493033 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.411800 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.382152 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.376519 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.387785 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.499555 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.522680 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.517640 for C = 7.000000e+00, gamma = 5.000000e-09 
EER = 0.514082 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.499555 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.529499 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.504595 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.497480 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.496887 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.498369 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 0.469612 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.530388 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.530388 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.530388 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.529795 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.388675 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.530092 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.573080 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.606285 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.638008 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.369701 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.248444 for C = 9.000000e+00, gamma = 3.000000e-07 
EER = 0.249926 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.316632 for C = 9.000000e+00, gamma = 7.000000e-07 
EER = 0.374741 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.479099 for C = 9.000000e+00, gamma = 1.000000e-08 
EER = 0.385414 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.371183 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.375037 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.364364 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.501334 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.520012 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.516454 for C = 9.000000e+00, gamma = 5.000000e-09 
EER = 0.499555 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.485028 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.524162 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.500148 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.497184 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.498369 for C = 9.000000e+00, gamma = 7.000000e-10 
EER = 0.499555 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.530388 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 0.530388 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.530388 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.529795 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 0.527127 for C = 9.000000e+00, gamma = 9.000000e-11 
EER = 0.383931 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.530388 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.573080 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.606285 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.638008 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.362882 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.227690 for C = 1.000000e+01, gamma = 3.000000e-07 <- New Best
EER = 0.256152 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.318707 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.371183 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.469612 for C = 1.000000e+01, gamma = 1.000000e-08 
EER = 0.379781 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.366439 for C = 1.000000e+01, gamma = 5.000000e-08 
