EER = 0.340053 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.245775 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.226801 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.232434 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.249629 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.254076 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.306256 for C = 7.000000e+00, gamma = 3.000000e-07 
EER = 0.322858 for C = 7.000000e+00, gamma = 5.000000e-07 
EER = 0.337978 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.341832 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.067003 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.172547 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.242811 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.242811 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.255559 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.031426 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.048028 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.055737 for C = 7.000000e+00, gamma = 5.000000e-09 
EER = 0.060777 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.066410 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.067003 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.038838 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.029647 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.029351 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.030537 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 0.067003 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.067003 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.067003 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.067003 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.067003 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.331752 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.245775 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.226801 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.232434 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.249629 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.244886 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.300623 for C = 9.000000e+00, gamma = 3.000000e-07 
EER = 0.324340 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.336496 for C = 9.000000e+00, gamma = 7.000000e-07 
