EER = 0.433739 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.304784 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.239846 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.199229 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.179069 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.189061 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.344706 for C = 7.000000e+00, gamma = 3.000000e-07 
EER = 0.410658 for C = 7.000000e+00, gamma = 5.000000e-07 
EER = 0.431960 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.436511 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.033798 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.071153 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.138156 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.165728 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.179366 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.042099 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.030953 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.029019 for C = 7.000000e+00, gamma = 5.000000e-09 
EER = 0.031481 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.033591 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.044847 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.044847 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.044847 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.045726 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.043616 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 1.000000 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.044847 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.044847 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.044847 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.044847 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.428402 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.302698 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.239846 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.199229 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.179069 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.223004 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.367922 for C = 9.000000e+00, gamma = 3.000000e-07 
EER = 0.424200 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.437918 for C = 9.000000e+00, gamma = 7.000000e-07 
EER = 0.434576 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.038541 for C = 9.000000e+00, gamma = 1.000000e-08 
EER = 0.085384 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.160688 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.172250 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.209902 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.038245 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.029370 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.030537 for C = 9.000000e+00, gamma = 5.000000e-09 
EER = 0.033415 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.036763 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.044847 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.044847 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.044847 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.043616 for C = 9.000000e+00, gamma = 7.000000e-10 
EER = 0.038541 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.044847 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 1.000000 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.955233 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.044847 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 0.044847 for C = 9.000000e+00, gamma = 9.000000e-11 
EER = 0.422793 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.302698 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.239846 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.199229 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.179069 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.229511 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.377112 for C = 1.000000e+01, gamma = 3.000000e-07 
EER = 0.429652 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.438269 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.431059 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.039747 for C = 1.000000e+01, gamma = 1.000000e-08 
EER = 0.100598 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.161577 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.180971 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.220575 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.037812 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.029722 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.031426 for C = 1.000000e+01, gamma = 5.000000e-09 
EER = 0.033943 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.038541 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.044847 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.044847 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.044847 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.042099 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.038245 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.044847 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.044847 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.044847 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.044847 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.044847 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.364364 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.302698 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.239846 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.199229 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.179069 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.318411 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.432256 for C = 3.000000e+01, gamma = 3.000000e-07 
EER = 0.424251 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.417517 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.379880 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.096729 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.198636 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.235102 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.266232 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.303291 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.029722 for C = 3.000000e+01, gamma = 1.000000e-09 
EER = 0.038245 for C = 3.000000e+01, gamma = 3.000000e-09 
EER = 0.052409 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.069078 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.083605 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.044847 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.038245 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.034295 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.030953 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.029370 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.999407 for C = 3.000000e+01, gamma = 1.000000e-11 
EER = 0.044847 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.044847 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.044847 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.044847 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.364364 for C = 5.000000e+01, gamma = 1.000000e-06 
EER = 0.302698 for C = 5.000000e+01, gamma = 3.000000e-06 
EER = 0.239846 for C = 5.000000e+01, gamma = 5.000000e-06 
EER = 0.199229 for C = 5.000000e+01, gamma = 7.000000e-06 
EER = 0.179069 for C = 5.000000e+01, gamma = 9.000000e-06 
EER = 0.374741 for C = 5.000000e+01, gamma = 1.000000e-07 
EER = 0.421287 for C = 5.000000e+01, gamma = 3.000000e-07 
EER = 0.428106 for C = 5.000000e+01, gamma = 5.000000e-07 
EER = 0.407945 for C = 5.000000e+01, gamma = 7.000000e-07 
EER = 0.376539 for C = 5.000000e+01, gamma = 9.000000e-07 
EER = 0.152480 for C = 5.000000e+01, gamma = 1.000000e-08 
EER = 0.220872 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.268011 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.329973 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.360535 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.031426 for C = 5.000000e+01, gamma = 1.000000e-09 
EER = 0.052772 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.080021 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.127483 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.152980 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.044847 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.034295 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.029944 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.028843 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.030537 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.044847 for C = 5.000000e+01, gamma = 1.000000e-11 
EER = 0.044847 for C = 5.000000e+01, gamma = 3.000000e-11 
EER = 0.044847 for C = 5.000000e+01, gamma = 5.000000e-11 
EER = 0.044847 for C = 5.000000e+01, gamma = 7.000000e-11 
EER = 0.044847 for C = 5.000000e+01, gamma = 9.000000e-11 
EER = 0.364364 for C = 7.000000e+01, gamma = 1.000000e-06 
EER = 0.302698 for C = 7.000000e+01, gamma = 3.000000e-06 
EER = 0.239846 for C = 7.000000e+01, gamma = 5.000000e-06 
EER = 0.199229 for C = 7.000000e+01, gamma = 7.000000e-06 
EER = 0.179069 for C = 7.000000e+01, gamma = 9.000000e-06 
EER = 0.406261 for C = 7.000000e+01, gamma = 1.000000e-07 
EER = 0.429476 for C = 7.000000e+01, gamma = 3.000000e-07 
EER = 0.424552 for C = 7.000000e+01, gamma = 5.000000e-07 
EER = 0.407945 for C = 7.000000e+01, gamma = 7.000000e-07 
