EER = 0.556811 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.370315 for C = 1.000000e+00, gamma = 3.000000e-06 <- New Best
EER = 0.331350 for C = 1.000000e+00, gamma = 5.000000e-06 <- New Best
EER = 0.316776 for C = 1.000000e+00, gamma = 7.000000e-06 <- New Best
EER = 0.313801 for C = 1.000000e+00, gamma = 9.000000e-06 <- New Best
EER = 0.544914 for C = 1.000000e+00, gamma = 1.000000e-07 
EER = 0.561570 for C = 1.000000e+00, gamma = 3.000000e-07 
EER = 0.559191 for C = 1.000000e+00, gamma = 5.000000e-07 
EER = 0.558001 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.556217 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.417906 for C = 1.000000e+00, gamma = 1.000000e-08 
EER = 0.526472 for C = 1.000000e+00, gamma = 3.000000e-08 
EER = 0.533908 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.539262 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.542237 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.526175 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.546401 for C = 1.000000e+00, gamma = 3.000000e-09 
EER = 0.469958 for C = 1.000000e+00, gamma = 5.000000e-09 
EER = 0.418798 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.420583 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 0.337299 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.349792 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.449137 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.499108 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.514575 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.662998 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.337002 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 0.337002 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.337002 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.337299 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.552945 for C = 3.000000e+00, gamma = 1.000000e-06 
EER = 0.350089 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.307852 for C = 3.000000e+00, gamma = 5.000000e-06 <- New Best
EER = 0.301606 for C = 3.000000e+00, gamma = 7.000000e-06 <- New Best
EER = 0.303093 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.549970 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.553540 for C = 3.000000e+00, gamma = 3.000000e-07 
EER = 0.553837 for C = 3.000000e+00, gamma = 5.000000e-07 
EER = 0.554729 for C = 3.000000e+00, gamma = 7.000000e-07 
EER = 0.553242 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.393813 for C = 3.000000e+00, gamma = 1.000000e-08 
EER = 0.502677 for C = 3.000000e+00, gamma = 3.000000e-08 
EER = 0.523498 for C = 3.000000e+00, gamma = 5.000000e-08 
EER = 0.539560 for C = 3.000000e+00, gamma = 7.000000e-08 
EER = 0.549375 for C = 3.000000e+00, gamma = 9.000000e-08 
EER = 0.542237 for C = 3.000000e+00, gamma = 1.000000e-09 
EER = 0.379833 for C = 3.000000e+00, gamma = 3.000000e-09 
EER = 0.340571 for C = 3.000000e+00, gamma = 5.000000e-09 
EER = 0.329566 for C = 3.000000e+00, gamma = 7.000000e-09 
EER = 0.361987 for C = 3.000000e+00, gamma = 9.000000e-09 
EER = 0.349792 for C = 3.000000e+00, gamma = 1.000000e-10 
EER = 0.516062 for C = 3.000000e+00, gamma = 3.000000e-10 
EER = 0.585366 for C = 3.000000e+00, gamma = 5.000000e-10 
EER = 0.582689 for C = 3.000000e+00, gamma = 7.000000e-10 
EER = 0.555622 for C = 3.000000e+00, gamma = 9.000000e-10 
EER = 0.337002 for C = 3.000000e+00, gamma = 1.000000e-11 
EER = 0.337002 for C = 3.000000e+00, gamma = 3.000000e-11 
EER = 0.337002 for C = 3.000000e+00, gamma = 5.000000e-11 
EER = 0.337002 for C = 3.000000e+00, gamma = 7.000000e-11 
EER = 0.343546 for C = 3.000000e+00, gamma = 9.000000e-11 
EER = 0.558596 for C = 5.000000e+00, gamma = 1.000000e-06 
EER = 0.349197 for C = 5.000000e+00, gamma = 3.000000e-06 
EER = 0.307852 for C = 5.000000e+00, gamma = 5.000000e-06 
EER = 0.301606 for C = 5.000000e+00, gamma = 7.000000e-06 
EER = 0.303093 for C = 5.000000e+00, gamma = 9.000000e-06 
EER = 0.543724 for C = 5.000000e+00, gamma = 1.000000e-07 
EER = 0.547888 for C = 5.000000e+00, gamma = 3.000000e-07 
EER = 0.552945 for C = 5.000000e+00, gamma = 5.000000e-07 
EER = 0.553540 for C = 5.000000e+00, gamma = 7.000000e-07 
EER = 0.556811 for C = 5.000000e+00, gamma = 9.000000e-07 
EER = 0.389352 for C = 5.000000e+00, gamma = 1.000000e-08 
EER = 0.502082 for C = 5.000000e+00, gamma = 3.000000e-08 
EER = 0.527662 for C = 5.000000e+00, gamma = 5.000000e-08 
EER = 0.541047 for C = 5.000000e+00, gamma = 7.000000e-08 
EER = 0.543724 for C = 5.000000e+00, gamma = 9.000000e-08 
EER = 0.464902 for C = 5.000000e+00, gamma = 1.000000e-09 
EER = 0.328079 for C = 5.000000e+00, gamma = 3.000000e-09 
EER = 0.277216 for C = 5.000000e+00, gamma = 5.000000e-09 <- New Best
EER = 0.270970 for C = 5.000000e+00, gamma = 7.000000e-09 <- New Best
EER = 0.347115 for C = 5.000000e+00, gamma = 9.000000e-09 
EER = 0.450922 for C = 5.000000e+00, gamma = 1.000000e-10 
EER = 0.585961 for C = 5.000000e+00, gamma = 3.000000e-10 
EER = 0.570494 for C = 5.000000e+00, gamma = 5.000000e-10 
EER = 0.523795 for C = 5.000000e+00, gamma = 7.000000e-10 
EER = 0.477394 for C = 5.000000e+00, gamma = 9.000000e-10 
EER = 0.337002 for C = 5.000000e+00, gamma = 1.000000e-11 
EER = 0.336407 for C = 5.000000e+00, gamma = 3.000000e-11 
EER = 0.341166 for C = 5.000000e+00, gamma = 5.000000e-11 
EER = 0.355741 for C = 5.000000e+00, gamma = 7.000000e-11 
EER = 0.415526 for C = 5.000000e+00, gamma = 9.000000e-11 
EER = 0.558001 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.349197 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.307852 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.301606 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.303093 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.540452 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.546996 for C = 7.000000e+00, gamma = 3.000000e-07 
EER = 0.552647 for C = 7.000000e+00, gamma = 5.000000e-07 
EER = 0.554134 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.557406 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.345925 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.502677 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.526472 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.537478 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.538073 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.397977 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.286139 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.227246 for C = 7.000000e+00, gamma = 5.000000e-09 <- New Best
EER = 0.253718 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.317371 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.499405 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.582391 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.525580 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.467876 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.414932 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 0.337002 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.337002 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.355741 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.444973 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.486615 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.557704 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.349197 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.307852 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.301606 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.303093 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.533908 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.545509 for C = 9.000000e+00, gamma = 3.000000e-07 
EER = 0.552945 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.554432 for C = 9.000000e+00, gamma = 7.000000e-07 
EER = 0.556514 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.323022 for C = 9.000000e+00, gamma = 1.000000e-08 
EER = 0.503569 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.525283 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.529447 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.534801 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.368828 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.251933 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.206127 for C = 9.000000e+00, gamma = 5.000000e-09 <- New Best
EER = 0.218620 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.283165 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.518144 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.553242 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.473528 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.414337 for C = 9.000000e+00, gamma = 7.000000e-10 
EER = 0.381618 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.337002 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 0.343546 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.415526 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.486615 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 0.508626 for C = 9.000000e+00, gamma = 9.000000e-11 
EER = 0.556811 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.349197 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.307852 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.301606 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.303093 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.532124 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.544616 for C = 1.000000e+01, gamma = 3.000000e-07 
EER = 0.552945 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.554432 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.556217 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.313504 for C = 1.000000e+01, gamma = 1.000000e-08 
EER = 0.504759 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.523498 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.527067 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.530042 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.356336 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.237359 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.196312 for C = 1.000000e+01, gamma = 5.000000e-09 <- New Best
EER = 0.206722 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.268293 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.528257 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.540750 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.465199 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.398572 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.369126 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.337002 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.349792 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.450030 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.499405 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.518144 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.555027 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.349197 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.307852 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.301606 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.303093 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.507436 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.541344 for C = 3.000000e+01, gamma = 3.000000e-07 
EER = 0.552350 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.552945 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.553540 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.363772 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.503867 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.503867 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.505651 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.507436 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.189471 for C = 3.000000e+01, gamma = 1.000000e-09 <- New Best
EER = 0.149018 for C = 3.000000e+01, gamma = 3.000000e-09 <- New Best
EER = 0.172814 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.181737 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.287032 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.539857 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.370315 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.301904 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.242415 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.199286 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.349792 for C = 3.000000e+01, gamma = 1.000000e-11 
EER = 0.518144 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.585961 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.583284 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.552647 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.555027 for C = 5.000000e+01, gamma = 1.000000e-06 
