EER = 0.313206 for C = 1.000000e+01, gamma = 1.000000e-08 <- New Best
EER = 0.504759 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.523498 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.527067 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.530339 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.356633 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.237656 for C = 1.000000e+01, gamma = 3.000000e-09 <- New Best
EER = 0.196312 for C = 1.000000e+01, gamma = 5.000000e-09 <- New Best
EER = 0.206722 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.267698 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.528257 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.540452 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.465794 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.398870 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.369126 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.363772 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.503867 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.503867 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.505651 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.507436 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.188876 for C = 3.000000e+01, gamma = 1.000000e-09 <- New Best
EER = 0.149018 for C = 3.000000e+01, gamma = 3.000000e-09 <- New Best
EER = 0.173111 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.181737 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.287032 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.541047 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.370315 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.303986 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.241225 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.199286 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.368828 for C = 5.000000e+01, gamma = 1.000000e-08 
EER = 0.498513 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.498810 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.497026 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.499405 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.144854 for C = 5.000000e+01, gamma = 1.000000e-09 <- New Best
EER = 0.162701 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.174004 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.202855 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.331648 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.462225 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.304283 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.209102 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.163891 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.148721 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.353064 for C = 7.000000e+01, gamma = 1.000000e-08 
EER = 0.489887 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.486913 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.490184 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.497026 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.110648 for C = 7.000000e+01, gamma = 1.000000e-09 <- New Best
EER = 0.168352 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.171624 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.242415 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.311719 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.400952 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.245092 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.159429 for C = 7.000000e+01, gamma = 5.000000e-10 
EER = 0.134741 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.115407 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.361689 for C = 9.000000e+01, gamma = 1.000000e-08 
EER = 0.483343 for C = 9.000000e+01, gamma = 3.000000e-08 
EER = 0.479477 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.487507 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.496728 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.098453 for C = 9.000000e+01, gamma = 1.000000e-09 <- New Best
EER = 0.166270 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.172219 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.225164 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.313206 for C = 9.000000e+01, gamma = 9.000000e-09 
EER = 0.370018 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.199286 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.134444 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.110054 for C = 9.000000e+01, gamma = 7.000000e-10 
EER = 0.099346 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.362582 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.478584 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.475312 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.486615 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.496728 for C = 1.000000e+02, gamma = 9.000000e-08 
EER = 0.091017 for C = 1.000000e+02, gamma = 1.000000e-09 <- New Best
EER = 0.164485 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.171624 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.214158 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.307258 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.358715 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.185009 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.129090 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.102915 for C = 1.000000e+02, gamma = 7.000000e-10 
EER = 0.095776 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.259964 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.346817 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.445271 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.484236 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.497323 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.113028 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.142177 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.151695 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.222784 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.273052 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.185306 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.077632 for C = 3.000000e+02, gamma = 3.000000e-10 <- New Best
EER = 0.077037 for C = 3.000000e+02, gamma = 5.000000e-10 <- New Best
EER = 0.080012 for C = 3.000000e+02, gamma = 7.000000e-10 
EER = 0.097858 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.182629 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.289709 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.439619 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.483938 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.497620 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.148424 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.138608 for C = 5.000000e+02, gamma = 3.000000e-09 
EER = 0.139500 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.146639 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.166270 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.120464 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.073468 for C = 5.000000e+02, gamma = 3.000000e-10 <- New Best
EER = 0.081202 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.118977 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.148126 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.171029 for C = 7.000000e+02, gamma = 1.000000e-08 
EER = 0.236169 for C = 7.000000e+02, gamma = 3.000000e-08 
EER = 0.439024 for C = 7.000000e+02, gamma = 5.000000e-08 
EER = 0.482153 for C = 7.000000e+02, gamma = 7.000000e-08 
EER = 0.497620 for C = 7.000000e+02, gamma = 9.000000e-08 
EER = 0.146044 for C = 7.000000e+02, gamma = 1.000000e-09 
EER = 0.140095 for C = 7.000000e+02, gamma = 3.000000e-09 
EER = 0.133849 for C = 7.000000e+02, gamma = 5.000000e-09 
EER = 0.144854 for C = 7.000000e+02, gamma = 7.000000e-09 
EER = 0.165080 for C = 7.000000e+02, gamma = 9.000000e-09 
EER = 0.093099 for C = 7.000000e+02, gamma = 1.000000e-10 
EER = 0.073171 for C = 7.000000e+02, gamma = 3.000000e-10 <- New Best
EER = 0.107377 for C = 7.000000e+02, gamma = 5.000000e-10 
EER = 0.146341 for C = 7.000000e+02, gamma = 7.000000e-10 
EER = 0.145449 for C = 7.000000e+02, gamma = 9.000000e-10 
EER = 0.172219 for C = 9.000000e+02, gamma = 1.000000e-08 
EER = 0.220702 for C = 9.000000e+02, gamma = 3.000000e-08 
EER = 0.423855 for C = 9.000000e+02, gamma = 5.000000e-08 
EER = 0.482153 for C = 9.000000e+02, gamma = 7.000000e-08 
EER = 0.497620 for C = 9.000000e+02, gamma = 9.000000e-08 
EER = 0.138013 for C = 9.000000e+02, gamma = 1.000000e-09 
EER = 0.138013 for C = 9.000000e+02, gamma = 3.000000e-09 
EER = 0.129982 for C = 9.000000e+02, gamma = 5.000000e-09 
EER = 0.144854 for C = 9.000000e+02, gamma = 7.000000e-09 
EER = 0.161511 for C = 9.000000e+02, gamma = 9.000000e-09 
EER = 0.077037 for C = 9.000000e+02, gamma = 1.000000e-10 
EER = 0.077335 for C = 9.000000e+02, gamma = 3.000000e-10 
EER = 0.144854 for C = 9.000000e+02, gamma = 5.000000e-10 
EER = 0.144854 for C = 9.000000e+02, gamma = 7.000000e-10 
EER = 0.140988 for C = 9.000000e+02, gamma = 9.000000e-10 
EER = 0.178763 for C = 1.000000e+03, gamma = 1.000000e-08 
EER = 0.220702 for C = 1.000000e+03, gamma = 3.000000e-08 
EER = 0.417609 for C = 1.000000e+03, gamma = 5.000000e-08 
EER = 0.482153 for C = 1.000000e+03, gamma = 7.000000e-08 
EER = 0.497620 for C = 1.000000e+03, gamma = 9.000000e-08 
EER = 0.136228 for C = 1.000000e+03, gamma = 1.000000e-09 
EER = 0.136823 for C = 1.000000e+03, gamma = 3.000000e-09 
EER = 0.128792 for C = 1.000000e+03, gamma = 5.000000e-09 
EER = 0.148424 for C = 1.000000e+03, gamma = 7.000000e-09 
EER = 0.163891 for C = 1.000000e+03, gamma = 9.000000e-09 
EER = 0.074658 for C = 1.000000e+03, gamma = 1.000000e-10 
EER = 0.081202 for C = 1.000000e+03, gamma = 3.000000e-10 
EER = 0.145449 for C = 1.000000e+03, gamma = 5.000000e-10 
EER = 0.144557 for C = 1.000000e+03, gamma = 7.000000e-10 
EER = 0.137121 for C = 1.000000e+03, gamma = 9.000000e-10 
EER = 0.135634 for C = 3.000000e+03, gamma = 1.000000e-08 
EER = 0.213861 for C = 3.000000e+03, gamma = 3.000000e-08 
